ds,temp,temp_min,temp_max,rain_1h,rain_3h,rain_24h,rain_today,snow_1h,snow_3h,snow_24h,snow_today,clouds_all,weather_main,weather_description
2012-10-02 09:00:00-05:00,288.28,286.15,290.15,,,,,,,,,40,Clouds,scattered clouds
2012-10-02 10:00:00-05:00,289.36,287.59,290.93,,,,,,,,,75,Clouds,broken clouds
2012-10-02 11:00:00-05:00,289.58,288.15,291.48,,,,,,,,,90,Clouds,overcast clouds
2012-10-02 12:00:00-05:00,290.13,288.15,292.15,,,,,,,,,90,Clouds,overcast clouds
2012-10-02 13:00:00-05:00,291.14,289.82,293.15,,,,,,,,,75,Clouds,broken clouds
2012-10-02 14:00:00-05:00,291.72,290.15,294.15,,,,,,,,,1,Clear,sky is clear
2012-10-02 15:00:00-05:00,293.17,291.15,295.37,,,,,,,,,1,Clear,sky is clear
2012-10-02 16:00:00-05:00,293.86,292.15,295.15,,,,,,,,,1,Clear,sky is clear
2012-10-02 17:00:00-05:00,294.14,292.59,295.15,,,,,,,,,20,Clouds,few clouds
2012-10-02 18:00:00-05:00,293.1,291.48,294.15,,,,,,,,,20,Clouds,few clouds
2012-10-02 19:00:00-05:00,290.97,289.15,292.59,,,,,,,,,20,Clouds,few clouds
2012-10-02 20:00:00-05:00,289.38,286.15,291.15,,,,,,,,,1,Clear,sky is clear
2012-10-02 21:00:00-05:00,288.61,284.15,290.37,,,,,,,,,1,Clear,sky is clear
2012-10-02 22:00:00-05:00,287.16,283.15,289.15,,,,,,,,,1,Clear,sky is clear
2012-10-02 23:00:00-05:00,285.45,280.15,288.15,,,,,,,,,1,Clear,sky is clear
2012-10-03 00:00:00-05:00,284.63,279.15,287.15,,,,,,,,,1,Clear,sky is clear
2012-10-03 01:00:00-05:00,283.47,279.15,286.15,,,,,,,,,1,Clear,sky is clear
2012-10-03 02:00:00-05:00,281.18,275.15,285.15,,,,,,,,,1,Clear,sky is clear
2012-10-03 03:00:00-05:00,281.09,275.15,285.15,,,,,,,,,1,Clear,sky is clear
2012-10-03 04:00:00-05:00,279.53,273.15,283.15,,,,,,,,,1,Clear,sky is clear
2012-10-03 05:00:00-05:00,278.62,272.15,282.04,,,,,,,,,1,Clear,sky is clear
2012-10-03 06:00:00-05:00,278.23,272.15,282.04,,,,,,,,,1,Clear,sky is clear
2012-10-03 08:00:00-05:00,278.12,274.15,281.48,,,,,,,,,1,Clear,sky is clear
2012-10-03 09:00:00-05:00,282.48,279.82,285.15,,,,,,,,,1,Clear,sky is clear
2012-10-03 12:00:00-05:00,291.97,289.82,293.15,,,,,,,,,1,Clear,sky is clear
2012-10-03 13:00:00-05:00,293.23,292.04,294.82,,,,,,,,,1,Clear,sky is clear
2012-10-03 14:00:00-05:00,294.31,292.04,297.04,,,,,,,,,1,Clear,sky is clear
2012-10-03 15:00:00-05:00,295.17,294.15,297.59,,,,,,,,,1,Clear,sky is clear
2012-10-03 16:00:00-05:00,295.13,294.15,296.15,,,,,,,,,1,Clear,sky is clear
2012-10-03 18:00:00-05:00,293.66,290.93,295.15,,,,,,,,,20,Clouds,few clouds
2012-10-03 19:00:00-05:00,290.65,288.15,293.15,,,,,,,,,20,Clouds,few clouds
2012-10-03 20:00:00-05:00,288.19,285.15,292.15,,,,,,,,,20,Clouds,few clouds
2012-10-03 21:00:00-05:00,287.1,284.15,289.26,,,,,,,,,1,Clear,sky is clear
2012-10-03 22:00:00-05:00,286.25,282.15,288.15,,,,,,,,,1,Clear,sky is clear
2012-10-03 23:00:00-05:00,285.26,282.15,288.15,,,,,,,,,1,Clear,sky is clear
2012-10-04 00:00:00-05:00,284.55,280.15,288.15,,,,,,,,,1,Clear,sky is clear
2012-10-04 01:00:00-05:00,283.47,279.15,286.15,,,,,,,,,1,Clear,sky is clear
2012-10-04 02:00:00-05:00,283.17,278.15,286.15,,,,,,,,,1,Clear,sky is clear
2012-10-04 03:00:00-05:00,282.04,279.15,285.15,,,,,,,,,1,Clear,sky is clear
2012-10-04 04:00:00-05:00,281.69,277.15,285.15,,,,,,,,,1,Clear,sky is clear
2012-10-04 05:00:00-05:00,281.32,277.15,283.71,,,,,,,,,1,Clear,sky is clear
2012-10-04 06:00:00-05:00,280.74,276.15,284.15,,,,,,,,,1,Clear,sky is clear
2012-10-04 07:00:00-05:00,280.57,276.15,283.15,,,,,,,,,1,Clear,sky is clear
2012-10-04 08:00:00-05:00,281.86,277.15,285.37,,,,,,,,,1,Clear,sky is clear
2012-10-04 09:00:00-05:00,284.98,281.48,288.71,,,,,,,,,1,Clear,sky is clear
2012-10-04 10:00:00-05:00,289.18,285.37,292.04,,,,,,,,,1,Clear,sky is clear
2012-10-04 11:00:00-05:00,291.55,285.37,294.26,,,,,,,,,1,Clear,sky is clear
2012-10-04 12:00:00-05:00,294.97,293.15,296.15,,,,,,,,,1,Clear,sky is clear
2012-10-04 13:00:00-05:00,296.38,294.26,298.15,,,,,,,,,1,Clear,sky is clear
2012-10-04 14:00:00-05:00,297.32,295.93,299.26,,,,,,,,,1,Clear,sky is clear
2012-10-04 15:00:00-05:00,298.17,297.15,299.26,,,,,,,,,1,Clear,sky is clear
2012-10-04 16:00:00-05:00,298.06,297.04,299.15,,,,,,,,,20,Clouds,few clouds
2012-10-04 17:00:00-05:00,297.67,295.93,299.15,,,,,,,,,20,Clouds,few clouds
2012-10-04 18:00:00-05:00,296.36,294.82,297.59,,,,,,,,,40,Clouds,scattered clouds
2012-10-04 19:00:00-05:00,293.85,290.93,296.15,,,,,,,,,40,Clouds,scattered clouds
2012-10-04 20:00:00-05:00,292.43,289.82,295.15,,,,,,,,,40,Clouds,scattered clouds
2012-10-04 21:00:00-05:00,291.77,290.15,293.15,,,,,,,,,75,Clouds,broken clouds
2012-10-04 22:00:00-05:00,291.36,290.15,292.15,,,,,,,,,75,Clouds,broken clouds
2012-10-04 23:00:00-05:00,291.12,290.15,292.15,,,,,,,,,75,Clouds,broken clouds
2012-10-05 00:00:00-05:00,290.63,289.15,292.04,,,,,,,,,75,Clouds,broken clouds
2012-10-05 01:00:00-05:00,290.46,288.15,292.04,,,,,,,,,40,Clouds,scattered clouds
2012-10-05 03:00:00-05:00,289.26,288.15,290.37,0.0,,0.0,,,,,,0,Clear,sky is clear
2012-10-05 05:00:00-05:00,283.21,281.15,286.15,,,,,,,,,75,Clouds,broken clouds
2012-10-05 06:00:00-05:00,282.24,281.15,283.15,,,,,,,,,90,Clouds,overcast clouds
2012-10-05 07:00:00-05:00,281.69,279.15,283.15,,,,,,,,,90,Clouds,overcast clouds
2012-10-05 08:00:00-05:00,280.57,278.15,282.15,,,,,,,,,90,Clouds,overcast clouds
2012-10-05 09:00:00-05:00,280.02,278.15,281.48,,,,,,,,,75,Clouds,broken clouds
2012-10-05 10:00:00-05:00,280.11,278.15,281.48,,,,,,,,,75,Clouds,broken clouds
2012-10-05 11:00:00-05:00,280.0,278.15,281.15,,,,,,,,,90,Clouds,overcast clouds
2012-10-05 12:00:00-05:00,280.53,279.15,281.48,,,,,,,,,90,Clouds,overcast clouds
2012-10-05 13:00:00-05:00,281.43,280.15,282.15,,,,,,,,,75,Clouds,broken clouds
2012-10-05 14:00:00-05:00,281.78,280.15,283.15,,,,,,,,,90,Clouds,overcast clouds
2012-10-05 15:00:00-05:00,281.91,280.93,283.15,,,,,,,,,90,Clouds,overcast clouds
2012-10-05 16:00:00-05:00,281.73,280.15,283.15,,,,,,,,,90,Clouds,overcast clouds
2012-10-05 17:00:00-05:00,281.42,280.15,283.15,,,,,,,,,90,Clouds,overcast clouds
